name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
7th Legion,16,"Epic MegaGames, Vision Software","Retroism, Nightdive Studios",14859,1825,0,1.55,-1.00,-1.00,-1.00
Batman: Arkham Knight,25,Rocksteady Studios,Warner Bros. Interactive Entertainment,1401953,1120415,52137,2.18,-1.00,-1.00,-1.00
Cobalt WASD,62,Oxeye Game Studio,Mojang,2745,2353,0,6.58,-1.00,-1.00,-1.00
Kimulator : Fight for your destiny,16,Bmc Studio,Bmc Studio,56829,52397,17205,1.55,-1.00,-1.00,-1.00
Invisigun Heroes,89,Sombr Studio,Sombr Studio,15641,11470,782,16.27,-1.00,-1.00,-1.00
Tanki X,27,AlternativaPlatform,AlternativaPlatform,263029,203333,8603,2.32,-1.00,-1.00,-1.00
Gunnheim,5,SIEIDI Ltd,Meridian4,110269,64389,1953,0.74,-1.00,-1.00,-1.00
Cave Story+,95,"Nicalis, Inc., Studio Pixel","Nicalis, Inc.",755720,475486,2353,25.37,-1.00,-1.00,-1.00
Led It Rain,16,Ataverti,Ataverti,8863,785,0,1.50,-1.00,-1.00,-1.00
Switch Galaxy Ultra,4,Atomicom Limited,Green Man Gaming Publishing,24765,11470,0,0.67,-1.00,-1.00,-1.00
Legends of Dawn Reborn,2,Dreamatrix,Dreamatrix,27632,7820,0,0.50,-1.00,-1.00,-1.00
Sacred 3,1,Keen Games,Deep Silver,328982,168923,3136,0.32,-1.00,-1.00,-1.00
Front Mission Evolved,15,Double Helix Games,Square Enix,277367,120175,782,1.49,-1.00,-1.00,-1.00
Cyber Chicken,100,WHOA!,Groupees Interactive,5214,3389,0,3.00,-1.00,-1.00,-1.00
CONSORTIUM,33,Interdimensional Games Inc,Interdimensional Games Inc,385029,205940,1172,2.71,-1.00,-1.00,-1.00
STRIDER / ,56,"Double Helix Games, Capcom",Capcom,618601,252080,3128,5.48,-1.00,-1.00,-1.00
City of Rott: Streets of Rott,27,Frank J Sudol,FSudol Art Games,784,0,0,2.25,-1.00,-1.00,-1.00
SuperTrucks Offroad,47,Meltdown Interactive Media,"Meltdown Interactive Media, Plug In Digital",785,785,0,4.20,-1.00,-1.00,-1.00
Banzai Escape,27,XenoAisam,Xenoaisam Studio,11991,9385,0,2.23,-1.00,-1.00,-1.00
Rubber and Lead,7,Omega Point Games,,39102,29979,0,0.89,-1.00,-1.00,-1.00
Breach & Clear,53,"Mighty Rabbit Studios, Gun.","Good Shepherd Entertainment, Devolver Digital",233311,141812,1825,5.11,-1.00,-1.00,-1.00
Tyler,6,ILLUSIONETWORK,IndieGala,11731,6778,0,0.83,-1.00,-1.00,-1.00
Duckpocalypse,89,Capitola VR,Capitola VR,2868,1825,0,18.50,-1.00,-1.00,-1.00
Star Explorers,33,Michael Klaus Schmidt,Michael Klaus Schmidt,785,785,0,2.80,-1.00,-1.00,-1.00
Resident Evil / biohazard HD REMASTER,74,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",519020,335238,9385,9.74,-1.00,-1.00,-1.00
The Last Conflict,21,Darker Emerald,EmmyGames,50051,39624,0,1.79,-1.00,-1.00,-1.00
Earth Liberation,37,PoRovoz Studios,PoRovoz Studios,1961,784,0,3.00,-1.00,-1.00,-1.00
Star Raiders,0,Incinerator Studios,Atari,6256,4432,0,0.23,-1.00,-1.00,-1.00
The baron got you again,,XXII GROUP,XXII GROUP,1570,1570,0,0.00,-1.00,-1.00,-1.00
CAR THIEF SIMULATOR 2017,,Emil Varez,Emil Varez,785,785,0,0.00,-1.00,-1.00,-1.00
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,82,Tripwire Interactive,Tripwire Interactive,3506186,2136557,60478,12.10,-1.00,-1.00,-1.00
Dashy Square VR,,Kastriot Sulejmani,Kastriot Sulejmani,1564,0,0,0.00,-1.00,-1.00,-1.00
STEEL STRIDER,53,ASTRO PORT,Nyu Media,1825,1043,0,5.17,-1.00,-1.00,-1.00
Vertex Dispenser,30,Michael Brough,Michael Brough,31543,13556,0,2.50,-1.00,-1.00,-1.00
Super Mega Bob,31,Jenito,Jenito,8863,5214,0,2.60,-1.00,-1.00,-1.00
Archibald's Adventures,62,Rake in Grass,Rake in Grass,10427,3389,0,6.17,-1.00,-1.00,-1.00
Legends of Aethereus,1,Three Gates,Three Gates,51876,22158,0,0.41,-1.00,-1.00,-1.00
Minion Masters,53,BetaDwarf,BetaDwarf,937155,538832,14077,5.17,-1.00,-1.00,-1.00
Quantum Break,59,Remedy Entertainment,Microsoft Studios,571417,315948,28154,5.87,-1.00,-1.00,-1.00
Sparkle ZERO,13,MMEU,Forever Entertainment S. A.,72991,45880,1570,1.30,-1.00,-1.00,-1.00
Galaxy Combat Wargames,4,Fork Particle Games,Fork Particle Games,16423,2346,0,0.67,-1.00,-1.00,-1.00
Tequila Zombies 3,,IriySoft,IriySoft,5474,4692,0,0.00,-1.00,-1.00,-1.00
A-Men,5,Bloober Team SA,Bloober Team SA,14859,9645,0,0.70,-1.00,-1.00,-1.00
Galactic Conquerors,4,Kinahmi Games,,12773,1303,0,0.67,-1.00,-1.00,-1.00
RC Mini Racers,16,Decane,Decane,43534,7820,0,1.53,-1.00,-1.00,-1.00
Gravity Core - Braintwisting Space Odyssey,59,Gravity Games UG (haftungsbeschränkt),Gravity Games UG (haftungsbeschränkt),1303,1176,0,6.00,-1.00,-1.00,-1.00
Blood of the Werewolf,17,Scientifically Proven,Scientifically Proven,74555,50312,778,1.57,-1.00,-1.00,-1.00
Danny's War,,Savin Sergey,Savin Sergey,3910,2346,0,0.00,-1.00,-1.00,-1.00
MANOS,42,FreakZone Games,FreakZone Games,25547,5735,0,3.75,-1.00,-1.00,-1.00
Dumb Chicken 2: One Way Out,23,OddChicken Studio,Black Shell Media,3128,784,0,2.00,-1.00,-1.00,-1.00
Cutthroat Gunboat,,Minor Faction,Minor Faction,3128,0,0,0.00,-1.00,-1.00,-1.00
Tryst,1,BlueGiant Interactive,BlueGiant Interactive,17205,7038,0,0.29,-1.00,-1.00,-1.00
Relic Hunters Zero,89,Rogue Snail,Rogue Snail,1130582,829754,9385,16.56,-1.00,-1.00,-1.00
Math Combat Challenge,,Titan Deep Space Company,Titan Deep Space Company,3910,0,0,0.00,-1.00,-1.00,-1.00
ZomDay,78,INTO GAMES,INTO GAMES,12513,9124,1172,11.38,-1.00,-1.00,-1.00
Door Kickers: Action Squad,82,"PixelShard, KillHouse Games",KillHouse Games,7299,6778,1564,11.87,-1.00,-1.00,-1.00
Heavy Fire: Afghanistan,11,Teyon,Mastiff,34671,21115,778,1.15,-1.00,-1.00,-1.00
NitroRage,23,XXXgames,XXXgames,1303,1176,0,2.00,-1.00,-1.00,-1.00
StarFence: Heroic Edition,9,Casiualogic,Casualogic,26850,1562,0,1.07,-1.00,-1.00,-1.00
The Crew,24,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,397541,384247,22419,2.06,-1.00,-1.00,-1.00
Rubber Ducky and the Rainbow Gun,78,John Szymanski,John Szymanski,11991,8342,0,10.83,-1.00,-1.00,-1.00
Grand Theft Auto IV,21,"Rockstar North, Rockstar Toronto",Rockstar Games,4373739,3671198,79508,1.85,-1.00,-1.00,-1.00
Blanco: The Color of Adventure,82,51Pegasi Studios,51Pegasi Studios,1303,1043,0,12.00,-1.00,-1.00,-1.00
Huenison,,RETREAM,RGCD.DEV,2354,2354,0,5.00,-1.00,-1.00,-1.00
Malazard: The Master of Magic,40,Invictus Games Ltd.,Invictus Games Ltd.,3650,1172,0,3.40,-1.00,-1.00,-1.00
Somewhere on Zibylon,95,Mykhail Konokh,Mykhail Konokh,2353,1570,785,28.00,-1.00,-1.00,-1.00
Cursed West,49,GoeX GameS,GoeX GameS,33628,31021,0,4.33,-1.00,-1.00,-1.00
Warden: Melody of the Undergrowth,62,Cardboard Keep,Cardboard Keep,6778,4171,0,6.17,-1.00,-1.00,-1.00
SmuggleCraft,,Happy Badger Studio,Happy Badger Studio,1176,1176,0,0.00,-1.00,-1.00,-1.00
SKYHILL,39,Mandragora,Daedalic Entertainment,76901,46662,2346,3.25,-1.00,-1.00,-1.00
Star Control: Origins,,Stardock Entertainment,Stardock Entertainment,2868,0,0,0.00,-1.00,-1.00,-1.00
SUPERHOT: MIND CONTROL DELETE,74,SUPERHOT Team,SUPERHOT Team,13816,7560,1825,9.00,-1.00,-1.00,-1.00
Smash Pixel Racing,37,Jollyfish Games,Jollyfish Games,5474,1043,0,3.00,-1.00,-1.00,-1.00
Dungeons Are Random,6,PIXELBUG,PIXELBUG,7820,785,0,0.80,-1.00,-1.00,-1.00
Men of Valor,28,2015,THQ Nordic,10167,7820,1561,2.44,-1.00,-1.00,-1.00
Sonic Adventure 2,56,SEGA,SEGA,576109,350358,13034,5.66,-1.00,-1.00,-1.00
Die for the Empire,2,Black Sword Entertainment,Black Sword Entertainment,6256,4171,0,0.46,-1.00,-1.00,-1.00
Fear of Clowns,31,Mikhail Nevsky,Mikhail Nevsky,7299,1564,781,2.70,-1.00,-1.00,-1.00
MDK,39,Shiny Entertainment,Interplay Inc.,23201,13295,0,3.28,-1.00,-1.00,-1.00
Drox Operative,74,Soldak Entertainment,Soldak Entertainment,17987,14859,1176,9.36,-1.00,-1.00,-1.00
Red Barton and The Sky Pirates,100,Schism Worldwide,Plug In Digital,1303,0,0,2.00,-1.00,-1.00,-1.00
StrainZ-1: Elimination,89,Bizzy,Atriagames,2868,0,0,18.00,-1.00,-1.00,-1.00
Templar Battleforce,92,Trese Brothers,Trese Brothers,27111,21897,782,21.65,-1.00,-1.00,-1.00
Pixelord,,LillyWelland inc.,Bitlock Studio,2346,784,0,0.00,-1.00,-1.00,-1.00
Full Spectrum Warrior,19,Pandemic Studios,THQ Nordic,181957,40406,0,1.75,-1.00,-1.00,-1.00
Pixel Space,27,a REGULAR GAMER,a REGULAR GAMER,20333,3123,784,2.27,-1.00,-1.00,-1.00
Birdsketball,100,Waynetron,Waynetron,1043,1043,0,38.00,-1.00,-1.00,-1.00
Manyland,62,Manyland,Manyland,7560,5474,0,6.31,-1.00,-1.00,-1.00
Operation swat,11,WhackAKey Games,WhackAKey Games,2346,785,0,1.13,-1.00,-1.00,-1.00
Angels Fall First,51,Strangely Interactive Ltd,Strangely Interactive Ltd,60478,54743,22158,4.75,-1.00,-1.00,-1.00
Stories of Bethem: Full Moon,62,GuGames Development,GuGames Development,11731,6517,0,6.18,-1.00,-1.00,-1.00
Altitude0: Lower & Faster,35,Gugila,Gugila,4953,4171,784,2.89,-1.00,-1.00,-1.00
SOL: Exodus,8,"Bit Planet Games, LLC","Bit Planet Games, LLC",65953,25547,0,0.93,-1.00,-1.00,-1.00
Drone Fighters,100,Surreal Games,Surreal Games,3650,2085,0,14.00,-1.00,-1.00,-1.00
Little Big Adventure - Enhanced Edition,67,DotEmu,DotEmu,14338,8603,0,7.55,-1.00,-1.00,-1.00
Kama Bullet Heritage,24,Narko Games,Narko Games,8603,0,0,2.09,-1.00,-1.00,-1.00
Mystic Towers,40,Animation F/X,3D Realms (Apogee Software),66213,3128,0,3.50,-1.00,-1.00,-1.00
Asteroid Bounty Hunter,24,Just1337 Studio,Just1337 Publisher,179871,110530,1825,2.12,-1.00,-1.00,-1.00
Requiem: Avenging Angel,82,Cyclone Studios,"Retroism, Prism Entertainment",3910,784,0,11.50,-1.00,-1.00,-1.00
Trine 2: Complete Story,95,Frozenbyte,Frozenbyte,2859171,1966592,22679,24.71,-1.00,-1.00,-1.00
Deformers Open Beta,11,Ready At Dawn,"GameTrust Games, Ready At Dawn",137380,86025,0,1.16,-1.00,-1.00,-1.00
Quip Anomaly,49,mentics,mentics,1176,1176,0,4.50,-1.00,-1.00,-1.00
Disney Infinity 2.0: Gold Edition,89,"Avalanche Software, Heavy Iron Studios",Disney Interactive,17726,4953,2352,18.00,-1.00,-1.00,-1.00
CroNix,7,MAGICS,MAGICS,305520,148589,1570,0.88,-1.00,-1.00,-1.00
Olympia Rising,39,Paleozoic,Paleozoic,21115,11470,0,3.20,-1.00,-1.00,-1.00
Gift to Humanity,,Ultima Games,New Reality Games,75337,781,0,0.00,-1.00,-1.00,-1.00
Xenoraid: The First Space War,71,10tons Ltd,10tons Ltd,3650,2085,0,8.50,-1.00,-1.00,-1.00
Neon Shadow,51,Tasty Poison,Crescent Moon Games,8342,784,0,4.62,-1.00,-1.00,-1.00
Murdered: Soul Suspect,53,Airtight Games,Square Enix,792476,430648,3650,5.16,-1.00,-1.00,-1.00
Psycho on the loose,89,WhackAKey Games,WhackAKey Games,7820,6778,0,16.00,-1.00,-1.00,-1.00
Nine Parchments,33,Frozenbyte,Frozenbyte,12773,10427,4432,2.84,-1.00,-1.00,-1.00
Dishonored: Death of the Outsider,56,Arkane Studios,Bethesda Softworks,203854,119393,13556,5.43,-1.00,-1.00,-1.00
GraveRun,100,W@ Games,,3128,778,0,8.00,-1.00,-1.00,-1.00
"Warhammer 40,000: Deathwatch - Enhanced Edition",19,Rodeo Games,Rodeo Games,31543,22679,778,1.76,-1.00,-1.00,-1.00
Krater,13,Fatshark,Fatshark,222363,170487,781,1.35,-1.00,-1.00,-1.00
Post Apocalyptic Mayhem,56,Steel Monkeys,Next Dimension Game Adventures Ltd.,238264,177264,1176,5.36,-1.00,-1.00,-1.00
Don't Feed,28,Ravinia,Ravinia,2607,2732,778,2.40,-1.00,-1.00,-1.00
Resident Evil Revelations / Biohazard Revelations,56,Capcom,Capcom,685335,413704,3910,5.35,-1.00,-1.00,-1.00
Hypersensitive Bob,56,SIEIDI Ltd,SIEIDI Ltd,4432,3128,0,5.57,-1.00,-1.00,-1.00
DmC: Devil May Cry,89,Ninja Theory,Capcom,1237462,844873,15641,17.95,-1.00,-1.00,-1.00
Orborun,47,Tiny Lab Productions,Digerati Distribution,181696,34410,0,4.25,-1.00,-1.00,-1.00
Humans Must Answer,22,Sumom Games,Sumom Games,13816,2607,0,1.88,-1.00,-1.00,-1.00
The Great Escape,21,XiNFiNiTY Games,OtakuMaker SARL,43534,38060,1172,1.78,-1.00,-1.00,-1.00
JUJU,82,Flying Wild Hog,Flying Wild Hog,5474,4171,0,12.00,-1.00,-1.00,-1.00
Turtle: Voidrunner,,Grey Gods,Grey Gods,1043,0,0,0.00,-1.00,-1.00,-1.00
Stupid Raft Battle Simulator,22,CREATIV GAME DEVELOPER LLC.,CREATIV GAME DEVELOPER LLC.,1953,1953,0,1.88,-1.00,-1.00,-1.00
Dawn of H'btakh,,megaeggz,megaeggz,2607,0,0,0.00,-1.00,-1.00,-1.00
Spiral Knights,53,Grey Havens,,3253063,2065391,29979,5.03,-1.00,-1.00,-1.00
Crewsaders,33,Titan Squad,Plug In Digital,7560,3128,0,2.71,-1.00,-1.00,-1.00
Nosgoth,,Psyonix,Square Enix,4365657,2305480,2868,2.85,-1.00,-1.00,-1.00
Immortal Redneck,89,Crema,Crema,30239,27893,2745,16.97,-1.00,-1.00,-1.00
Desperados 2: Cooper's Revenge,7,Spellbound,THQ Nordic,62303,18248,1043,0.91,-1.00,-1.00,-1.00
Forge Quest,59,,,39624,37538,784,5.82,-1.00,-1.00,-1.00
Dead Effect 2 VR,68,"BadFly Interactive, a.s.","BadFly Interactive, a.s.",23461,19551,1303,7.33,-1.00,-1.00,-1.00
deep space waifu: FLAT JUSTICE VERSION,97,Neko Climax Studios,Hammerfist Studios,25286,18248,7299,36.75,-1.00,-1.00,-1.00
How to Survive,53,Eko Software,505 Games,1467906,1194710,8081,4.92,-1.00,-1.00,-1.00
Shattered Haven,2,"Arcen Games, LLC","Arcen Games, LLC",106098,17987,0,0.46,-1.00,-1.00,-1.00
Survive the Nights,11,a2z Interactive,a2z Interactive,30239,27111,7560,1.16,-1.00,-1.00,-1.00
SQUIDS FROM SPACE,78,Fun Bits,Fun Bits,7820,2868,784,11.25,-1.00,-1.00,-1.00
Immune - True Survival,15,vidiludi games and entertainment,vidiludi games and entertainment,164230,130602,1825,1.47,-1.00,-1.00,-1.00
Forgotten Land,2,Donbass Games,Donbass Games,2607,0,0,0.51,-1.00,-1.00,-1.00
Psychical Madness,,AYE Technology,AYE Technology,4692,0,0,0.00,-1.00,-1.00,-1.00
DEEP SPACE WAIFU,97,Neko Climax Studios,Hammerfist Studios,139465,109487,19030,33.19,-1.00,-1.00,-1.00
Talewind,49,WindLimit,WindLimit,3128,2085,0,4.29,-1.00,-1.00,-1.00
Botlike - a robot's rampage,89,Binji,Binji,785,0,0,16.00,-1.00,-1.00,-1.00
Khimera: Destroy All Monster Girls,92,Suits & Sandals,Suits & Sandals,82897,33367,1043,19.18,-1.00,-1.00,-1.00
Solstice Arena,,Zynga,Zynga,218452,88632,0,4.44,-1.00,-1.00,-1.00
Scourge: Outbreak,23,Tragnarion Studios,Bitbox S.L.,126953,52397,0,2.01,-1.00,-1.00,-1.00
Written in the Sky,42,Unwonted Studios,Sekai Project,169183,86025,781,3.73,-1.00,-1.00,-1.00
Commandos 2: Men of Courage,62,Pyro Studios,Merge Games,670216,257033,5735,6.29,-1.00,-1.00,-1.00
Mint,37,DGHZ,Sometimes You,5735,0,0,3.00,-1.00,-1.00,-1.00
Really Big Sky,37,Boss Baddie,Ripstone,603481,361567,1825,3.01,-1.00,-1.00,-1.00
Glorch's Great Escape: Walking is for Chumps,,"Warrior General Games, LLC","Warrior General Games, LLC",4432,0,0,0.00,-1.00,-1.00,-1.00
Sonic Forces,28,"Sonic Team, Hardlight",SEGA,25547,22940,3910,2.41,-1.00,-1.00,-1.00
Snow Games VR,100,Kenziko Ltd.,Kenziko Ltd.,6517,3650,781,2.00,-1.00,-1.00,-1.00
Killing Floor: Incursion,19,Tripwire Interactive,Tripwire Interactive,4171,3650,3136,1.74,-1.00,-1.00,-1.00
Airtone,92,historia Inc,AMG GAMES,2607,2346,784,23.00,-1.00,-1.00,-1.00
OK K.O.! Lets Play Heroes,82,Capybara Games,Cartoon Network Games,1825,1564,1303,12.50,-1.00,-1.00,-1.00
Escape Goat,97,MagicalTimeBean,MagicalTimeBean,43795,33628,0,41.69,-1.00,-1.00,-1.00
Far Cry 3 - Blood Dragon,67,Ubisoft Montreal,Ubisoft,1228599,881630,12513,7.74,-1.00,-1.00,-1.00
Killer Elite  Time to Die,9,Wioleta Moniuszko,WRGenesis,49530,47444,0,1.00,-1.00,-1.00,-1.00
THE LAST BLADE,28,"SNK CORPORATION, DotEmu",SNK CORPORATION,19291,4953,0,2.36,-1.00,-1.00,-1.00
Waves,89,Squid In A Box Ltd,Squid In A Box Ltd,107662,68560,784,16.44,-1.00,-1.00,-1.00
Super Win the Game,67,Minor Key Games,Minor Key Games,42491,26590,0,7.60,-1.00,-1.00,-1.00
Check vs Mate,14,Targem Games,Topware Interactive,15380,13034,0,1.39,-1.00,-1.00,-1.00
Blackscreen Simulator,,BunchOD00dz,ArcaneRaise,7038,1176,0,0.00,-1.00,-1.00,-1.00
(SHE SAVE),44,いくちおすてご,いくちおすてご,1564,1953,0,3.86,-1.00,-1.00,-1.00
Hover Cubes: Arena,92,Gametology,Deck13,784,0,0,20.00,-1.00,-1.00,-1.00
Galactic Lords,,"TheDreik, Xeneder",Xitilon,1562,785,785,0.00,-1.00,-1.00,-1.00
Rush Rover,99,radio,"radio, indienova",2868,2346,778,125.00,-1.00,-1.00,-1.00
Aliens Go Home Run,74,ANIM•ACE,ANIM•ACE,7299,5474,784,9.80,-1.00,-1.00,-1.00
Rosenkreuzstilette,59,"[erka:es], Darksquid Media",AGM PLAYISM,8603,4692,778,5.82,-1.00,-1.00,-1.00
Super Crate Box,71,Vlambeer,Vlambeer,1167078,622511,4432,8.71,-1.00,-1.00,-1.00
SCP: Secret Laboratory,31,Hubert Moszka,Hubert Moszka,426217,346187,174397,2.58,-1.00,-1.00,-1.00
Super Time Force Ultra,74,Capybara Games,Capybara Games,152500,85504,1303,9.54,-1.00,-1.00,-1.00
Prototype,51,Radical Entertainment,Activision,556037,425956,5214,4.58,-1.00,-1.00,-1.00
WAVESHAPER,59,GAMES FOR HUMANS,GAMES FOR HUMANS,4171,2868,778,6.00,-1.00,-1.00,-1.00
Sacred Citadel,28,Southend,Deep Silver,519802,132427,781,2.37,-1.00,-1.00,-1.00
Tachyon Project,28,Eclipse Games,Eclipse Games,19030,10167,0,2.36,-1.00,-1.00,-1.00
Tom Clancy's Rainbow Six Siege,59,Ubisoft Montreal,Ubisoft,4412059,4241833,1696264,5.83,-1.00,-1.00,-1.00
Heartomics: Lost Count,16,Heartomics,Heartomics,3128,2085,0,1.53,-1.00,-1.00,-1.00
Incursion The Thing,4,"booblyc, parafeks",Booblyc OU,1043,782,0,0.67,-1.00,-1.00,-1.00
Frequent Flyer,89,"Coldwild Games, Vladimir Slav, Helen Nazarenko",Coldwild Games,1825,1303,0,16.00,-1.00,-1.00,-1.00
Twisty's Asylum Escapades,4,Twisted Jenius,Twisted Jenius,2868,2085,0,0.62,-1.00,-1.00,-1.00
Better Late Than DEAD,2,Odin Game Studio,Excalibur Games,45620,22679,0,0.47,-1.00,-1.00,-1.00
Crea,49,Siege Games,Siege Games,57611,54483,1568,4.36,-1.00,-1.00,-1.00
Dead Bits,13,Microblast Games,Microblast Games,888147,618601,6256,1.38,-1.00,-1.00,-1.00
16 Bit Arena,25,16bitarena.com,16bitarena.com,130863,34671,0,2.18,-1.00,-1.00,-1.00
Aimtastic,99,Victor Möller,Victor Möller,13295,10427,10427,76.00,-1.00,-1.00,-1.00
Battle Princess Madelyn,,Causal Bit Games Inc.,"Causal Bit Games Inc., IndieHound",785,785,0,0.00,-1.00,-1.00,-1.00
Teria,6,ElZzap Software,ElZzap Software,5996,0,0,0.83,-1.00,-1.00,-1.00
World of Tanks Blitz,31,Wargaming Group Limited,Wargaming Group Limited,2921995,2143335,273196,2.65,-1.00,-1.00,-1.00
Goggles - World of Vaporia,14,Bit2Good Ug,Bit2Good Ug,781,785,0,1.40,-1.00,-1.00,-1.00
Isaac the Adventurer,12,"Artisiti, Studio Vrtinec",Artisiti,13556,1564,0,1.25,-1.00,-1.00,-1.00
